building,capacity,faculty,room
"B43","10","","R3045"
"B43","150","","R3046"
"B43","440","","R3047"
"B43","480","","R3048"
"B43","350","","R3049"
"B43","150","","R3050"
"B43","150","","R3051"
"B43","130","","R3052"
"B43","260","","R3053"
"B43","230","","R3054"
"B43","460","","R3055"
"B43","250","","R3056"
"B43","80","","R3057"
"B29","440","","R1000"
"B29","210","","R1001"
"B29","200","","R1002"
"B29","150","","R1003"
"B29","200","","R1004"
"B29","100","","R1005"
"B29","420","","R1006"
"B29","10","","R1007"
"B29","40","","R1008"
"B29","170","","R2009"
"B29","490","","R2010"
"B29","460","","R2011"
"B29","240","","R2012"
"B29","190","","R3013"
"B29","370","","R3014"
"B29","470","","R3015"
"B29","260","","R3016"
"B29","110","","R3017"
"B29","210","","R3018"
"B29","410","","R3019"
"B29","490","","R3020"
"B29","220","","R3021"
"B29","310","","R3022"
"B29","390","","R3023"
"B29","140","","R3024"
"B29","410","","R4025"
"B29","420","","R4026"
"B29","440","","R4027"
"B29","180","","R4028"
"B29","210","","R4029"
"B29","430","","R4030"
"B29","100","","R4031"
"B29","470","","R4032"
"B29","270","","R4033"
"B29","370","","R4034"
"B29","240","","R4035"
"B29","140","","R4036"
"B29","160","","R4037"
"B29","60","","R4038"
"B29","350","","R4039"
"B29","230","","R4040"
"B29","20","","R5041"
"B29","10","","R5042"
"B29","400","","R5043"
"B29","340","","R5044"
"B29","70","","R5045"
"B29","330","","R5046"
"B29","100","","R5047"
"B29","290","","R5048"
"B29","160","","R5049"
"B29","460","","R5050"
"B29","40","","R5051"
"B63","430","","R1000"
"B63","350","","R1001"
"B63","70","","R1002"
"B63","60","","R1003"
"B63","280","","R1004"
"B63","210","","R1005"
"B63","50","","R1006"
"B63","450","","R1007"
"B63","60","","R2008"
"B63","460","","R2009"
"B63","80","","R2010"
"B63","160","","R2011"
"B63","220","","R2012"
"B63","390","","R2013"
"B63","250","","R3014"
"B63","20","","R4015"
"B63","60","","R5016"
"B63","310","","R5017"
"B63","80","","R5018"
"B63","120","","R5019"
"B63","10","","R5020"
"B63","330","","R5021"
"B63","160","","R5022"
"B63","90","","R5023"
"B8","390","","R1000"
"B8","480","","R1001"
"B8","50","","R1002"
"B8","310","","R1003"
"B8","400","","R1004"
"B8","400","","R1005"
"B8","350","","R1006"
"B8","250","","R1007"
"B8","30","","R1008"
"B8","450","","R1009"
"B8","470","","R1010"
"B8","470","","R2011"
"B8","150","","R2012"
"B8","10","","R2013"
"B8","490","","R2014"
"B8","380","","R2015"
"B8","270","","R2016"
"B8","350","","R2017"
"B8","330","","R2018"
"B8","120","","R2019"
"B8","150","","R2020"
"B8","380","","R2021"
"B8","10","","R2022"
"B8","410","","R2023"
"B8","170","","R3024"
"B8","390","","R3025"
"B8","360","","R3026"
"B8","30","","R3027"
"B8","100","","R3028"
"B8","330","","R3029"
"B8","190","","R3030"
"B8","400","","R3031"
"B8","10","","R3032"
"B8","310","","R3033"
"B8","110","","R3034"
"B8","280","","R3035"
"B8","430","","R3036"
"B8","180","","R3037"
"B8","480","","R4038"
"B8","70","","R4039"
"B8","340","","R4040"
"B8","320","","R4041"
"B8","420","","R4042"
"B8","110","","R4043"
"B8","50","","R4044"
"B8","220","","R4045"
"B8","30","","R4046"
"B8","390","","R4047"
"B8","40","","R4048"
"B8","280","","R4049"
"B8","230","","R4050"
"B8","220","","R4051"
"B8","130","","R4052"
"B8","130","","R5053"
"B8","350","","R5054"
"B8","240","","R6055"
"B8","340","","R7056"
"B8","490","","R7057"
"B8","340","","R7058"
"B8","440","","R7059"
"B8","430","","R7060"
"B8","20","","R7061"
"B8","10","","R7062"
"B8","150","","R7063"
"B8","350","","R7064"
"B8","450","","R7065"
"B8","450","","R8066"
"B8","180","","R8067"
"B8","260","","R8068"
"B8","80","","R8069"
"B8","380","","R8070"
"B8","290","","R8071"
"B8","340","","R9072"
"B8","140","","R9073"
"B8","300","","R9074"
"B8","10","","R9075"
"B8","400","","R9076"
"B8","460","","R9077"
"B8","410","","R9078"
"B8","220","","R9079"
"B8","320","","R9080"
"B8","440","","R9081"
"B8","340","","R9082"
"B8","460","","R10083"
"B8","10","","R10084"
"B8","400","","R10085"
"B8","330","","R10086"
"B8","90","","R10087"
"B8","50","","R10088"
"B8","370","","R10089"
"B8","150","","R10090"
"B8","460","","R10091"
"B8","490","","R10092"
"B51","230","","R1000"
"B51","150","","R1001"
"B51","160","","R1002"
"B51","460","","R1003"
"B51","430","","R1004"
"B51","200","","R1005"
"B51","280","","R1006"
"B51","10","","R1007"
"B51","240","","R1008"
"B51","210","","R1009"
"B51","300","","R1010"
"B51","350","","R1011"
"B51","270","","R1012"
"B51","450","","R1013"
"B51","120","","R1014"
"B51","110","","R1015"
"B51","380","","R1016"
"B51","40","","R1017"
"B51","490","","R1018"
"B3","80","","R1000"
"B3","90","","R2001"
"B3","340","","R2002"
"B3","370","","R2003"
"B3","310","","R2004"
"B3","260","","R2005"
"B3","250","","R2006"
"B3","300","","R2007"
"B3","30","","R2008"
"B3","360","","R2009"
"B3","350","","R2010"
"B3","100","","R2011"
"B3","210","","R3012"
"B3","490","","R4013"
"B3","40","","R4014"
"B3","220","","R4015"
"B3","170","","R5016"
"B3","310","","R5017"
"B3","190","","R5018"
"B3","170","","R5019"
"B3","470","","R5020"
"B3","440","","R5021"
"B3","430","","R5022"
"B3","90","","R5023"
"B3","440","","R5024"
"B3","190","","R5025"
"B3","470","","R5026"
"B3","120","","R5027"
"B3","250","","R6028"
"B3","320","","R6029"
"B3","410","","R6030"
"B3","320","","R6031"
"B3","70","","R6032"
"B3","240","","R6033"
"B3","250","","R6034"
"B3","80","","R6035"
"B3","370","","R6036"
"B3","450","","R6037"
"B3","420","","R6038"
"B3","250","","R6039"
"B3","420","","R6040"
"B3","460","","R6041"
"B3","240","","R6042"
"B3","130","","R6043"
"B3","190","","R6044"
"B3","220","","R6045"
"B3","150","","R6046"
"B3","340","","R6047"
"B3","360","","R6048"
"B3","420","","R6049"
"B3","330","","R6050"
"B3","320","","R6051"
"B3","440","","R7052"
"B3","60","","R7053"
"B3","370","","R8054"
"B3","150","","R8055"
"B3","30","","R8056"
"B3","330","","R8057"
"B3","490","","R8058"
"B3","480","","R8059"
"B3","40","","R8060"
"B3","370","","R8061"
"B3","270","","R8062"
"B3","90","","R8063"
"B3","220","","R8064"
"B3","10","","R8065"
"B3","110","","R8066"
"B3","380","","R8067"
"B3","100","","R8068"
"B3","290","","R8069"
"B3","400","","R8070"
"B3","40","","R8071"
"B3","470","","R8072"
"B3","380","","R8073"
"B3","320","","R8074"
"B3","420","","R8075"
"B3","350","","R8076"
"B3","410","","R8077"
"B3","250","","R8078"
"B3","160","","R8079"
"B3","60","","R8080"
"B3","460","","R8081"
"B3","480","","R8082"
"B3","380","","R8083"
"B3","250","","R9084"
"B3","230","","R9085"
"B3","100","","R9086"
"B3","130","","R9087"
"B3","80","","R10088"
"B3","30","","R11089"
"B3","290","","R11090"
"B3","310","","R11091"
"B3","50","","R11092"
"B3","40","","R11093"
"B3","40","","R11094"
"B3","50","","R11095"
"B15","420","","R1000"
"B15","220","","R1001"
"B15","90","","R1002"
"B15","290","","R1003"
"B15","440","","R2004"
"B15","300","","R3005"
"B15","340","","R4006"
"B15","150","","R4007"
"B15","140","","R4008"
"B15","30","","R4009"
"B15","60","","R4010"
"B15","60","","R4011"
"B15","430","","R4012"
"B15","310","","R4013"
"B15","240","","R4014"
"B15","20","","R4015"
"B15","490","","R4016"
"B15","310","","R4017"
"B15","240","","R4018"
"B15","240","","R4019"
"B15","360","","R4020"
"B15","170","","R4021"
"B15","330","","R4022"
"B15","400","","R4023"
"B15","250","","R4024"
"B15","390","","R5025"
"B15","220","","R5026"
"B15","400","","R5027"
"B15","260","","R5028"
"B15","220","","R5029"
"B15","80","","R5030"
"B15","30","","R5031"
"B15","300","","R5032"
"B15","390","","R5033"
"B15","120","","R5034"
"B15","480","","R5035"
"B15","250","","R6036"
"B15","250","","R6037"
"B15","20","","R6038"
"B15","30","","R6039"
"B15","390","","R6040"
"B15","470","","R6041"
"B15","320","","R7042"
"B15","370","","R7043"
"B15","100","","R7044"
"B15","450","","R7045"
"B15","90","","R7046"
"B15","210","","R7047"
"B15","400","","R7048"
"B15","210","","R7049"
"B15","330","","R8050"
"B15","330","","R8051"
"B15","260","","R8052"
"B15","120","","R8053"
"B15","400","","R8054"
"B15","430","","R8055"
"B15","320","","R8056"
"B15","230","","R9057"
"B15","270","","R9058"
"B92","20","","R1000"
"B92","170","","R1001"
"B92","250","","R1002"
"B92","80","","R1003"
"B92","220","","R1004"
"B92","120","","R1005"
"B92","200","","R1006"
"B92","410","","R2007"
"B92","390","","R2008"
"B92","270","","R2009"
"B92","30","","R2010"
"B92","420","","R2011"
"B49","200","","R1000"
"B49","80","","R1001"
"B49","250","","R1002"
"B49","410","","R1003"
"B49","490","","R1004"
"B49","70","","R1005"
"B49","80","","R2006"
"B49","270","","R2007"
"B49","440","","R2008"
"B49","380","","R2009"
"B49","120","","R3010"
"B49","420","","R3011"
"B49","470","","R3012"
"B49","280","","R3013"
"B49","350","","R3014"
"B49","270","","R3015"
"B49","190","","R3016"
"B49","250","","R3017"
"B49","140","","R3018"
"B49","70","","R4019"
"B49","410","","R4020"
"B49","290","","R4021"
"B49","240","","R4022"
"B49","440","","R4023"
"B49","360","","R4024"
"B49","320","","R4025"
"B49","210","","R4026"
"B49","20","","R5027"
"B49","250","","R5028"
"B49","140","","R5029"
"B49","220","","R5030"
"B49","110","","R5031"
"B49","480","","R5032"
"B49","150","","R5033"
"B49","100","","R5034"
"B49","370","","R5035"
"B49","210","","R5036"
"B49","210","","R5037"
"B49","270","","R5038"
"B49","10","","R5039"
"B49","400","","R5040"
"B49","120","","R5041"
"B49","470","","R5042"
"B49","170","","R5043"
"B49","150","","R5044"
"B49","150","","R5045"
"B49","180","","R5046"
"B49","430","","R6047"
"B49","370","","R6048"
"B49","20","","R6049"
"B49","380","","R6050"
"B49","370","","R6051"
"B49","330","","R6052"
"B49","390","","R7053"
"B49","480","","R7054"
"B49","170","","R7055"
"B49","270","","R7056"
"B49","450","","R7057"
"B49","310","","R7058"
"B49","410","","R7059"
"B49","110","","R8060"
"B49","150","","R8061"
"B49","370","","R8062"
"B49","250","","R8063"
"B49","230","","R8064"
"B49","240","","R8065"
"B49","190","","R8066"
"B49","150","","R8067"
"B49","150","","R8068"
"B49","60","","R9069"
"B49","330","","R9070"
"B49","140","","R9071"
"B49","150","","R9072"
"B49","490","","R9073"
"B49","490","","R9074"
"B49","420","","R9075"
"B42","440","","R1000"
"B42","140","","R1001"
"B42","240","","R1002"
"B42","430","","R1003"
"B42","110","","R1004"
"B42","90","","R1005"
"B42","170","","R1006"
"B42","170","","R2007"
"B42","40","","R2008"
"B42","140","","R2009"
"B42","450","","R2010"
"B42","400","","R2011"
"B42","80","","R2012"
"B42","420","","R2013"
"B42","330","","R2014"
"B42","380","","R2015"
"B42","180","","R2016"
"B42","490","","R2017"
"B42","460","","R2018"
"B42","290","","R2019"
"B42","360","","R2020"
"B42","220","","R2021"
"B42","120","","R2022"
"B42","150","","R2023"
"B42","490","","R3024"
"B42","10","","R3025"
"B42","60","","R3026"
"B42","250","","R4027"
"B42","170","","R4028"
"B42","340","","R4029"
"B42","60","","R4030"
"B42","220","","R4031"
"B42","40","","R4032"
"B42","480","","R4033"
"B42","320","","R4034"
"B42","360","","R4035"
"B42","380","","R4036"
"B42","350","","R4037"
"B42","180","","R4038"
"B42","210","","R4039"
"B42","410","","R4040"
"B42","400","","R4041"
"B42","320","","R4042"
"B42","270","","R4043"
"B42","120","","R4044"
"B93","380","","R1000"
"B93","100","","R1001"
"B93","150","","R1002"
"B93","170","","R1003"
"B93","250","","R1004"
"B93","470","","R1005"
"B93","300","","R1006"
"B93","120","","R1007"
"B93","180","","R1008"
"B93","480","","R2009"
"B93","300","","R2010"
"B93","370","","R2011"
"B93","230","","R2012"
"B93","300","","R2013"
"B93","80","","R2014"
"B93","340","","R2015"
"B93","390","","R2016"
"B93","410","","R2017"
"B93","450","","R2018"
"B93","150","","R2019"
"B93","400","","R2020"
"B93","210","","R2021"
"B93","130","","R2022"
"B93","350","","R2023"
"B93","450","","R2024"
"B93","430","","R2025"
"B93","380","","R2026"
"B93","130","","R2027"
"B93","140","","R2028"
"B93","120","","R2029"
"B93","180","","R2030"
"B93","280","","R2031"
"B93","350","","R2032"
"B93","240","","R2033"
"B93","250","","R2034"
"B93","110","","R2035"
"B93","410","","R2036"
"B93","240","","R2037"
"B93","280","","R2038"
"B93","180","","R2039"
"B93","400","","R2040"
"B93","420","","R3041"
"B93","150","","R3042"
"B93","90","","R3043"
"B93","40","","R3044"
"B93","110","","R3045"
"B93","310","","R3046"
"B75","290","","R1000"
"B75","440","","R1001"
"B75","430","","R1002"
"B75","370","","R1003"
"B75","340","","R1004"
"B75","450","","R1005"
"B75","350","","R1006"
"B75","200","","R1007"
"B75","480","","R1008"
"B75","320","","R1009"
"B75","190","","R1010"
"B75","330","","R1011"
"B75","310","","R1012"
"B75","460","","R1013"
"B75","10","","R1014"
"B75","190","","R1015"
"B75","350","","R1016"
"B75","230","","R1017"
"B75","250","","R1018"
"B75","230","","R1019"
"B75","40","","R1020"
"B70","300","","R1000"
"B70","350","","R1001"
"B70","30","","R1002"
"B70","90","","R1003"
"B70","250","","R1004"
"B70","410","","R1005"
"B70","60","","R1006"
"B70","230","","R2007"
"B70","30","","R2008"
"B70","390","","R2009"
"B70","60","","R3010"
"B70","230","","R3011"
"B70","360","","R3012"
"B70","320","","R3013"
"B70","490","","R3014"
"B70","210","","R3015"
"B70","80","","R3016"
"B70","360","","R3017"
"B70","180","","R3018"
"B70","240","","R3019"
"B70","220","","R3020"
"B70","120","","R3021"
"B70","120","","R3022"
"B70","250","","R3023"
"B70","110","","R3024"
"B70","380","","R3025"
"B70","240","","R3026"
"B70","280","","R3027"
"B70","140","","R3028"
"B70","210","","R3029"
"B70","410","","R3030"
"B70","330","","R3031"
"B70","190","","R3032"
"B70","100","","R3033"
"B70","60","","R4034"
"B70","100","","R4035"
"B70","220","","R4036"
"B70","70","","R4037"
"B70","290","","R4038"
"B70","280","","R4039"
"B70","120","","R4040"
"B70","110","","R4041"
"B70","250","","R4042"
"B70","120","","R4043"
"B70","400","","R4044"
"B70","480","","R5045"
"B70","130","","R5046"
"B70","70","","R5047"
"B70","50","","R5048"
"B70","200","","R5049"
"B70","410","","R5050"
"B70","10","","R6051"
"B70","210","","R6052"
"B70","20","","R7053"
"B70","170","","R7054"
"B70","440","","R7055"
"B70","130","","R7056"
"B70","450","","R7057"
"B70","380","","R7058"
"B70","20","","R7059"
"B70","360","","R7060"
"B70","250","","R7061"
"B70","320","","R7062"
"B70","380","","R8063"
"B70","290","","R8064"
"B70","180","","R8065"
"B70","280","","R8066"
"B70","60","","R8067"
"B70","340","","R8068"
"B70","240","","R8069"
"B70","200","","R8070"
"B70","230","","R8071"
"B70","40","","R8072"
"B70","50","","R9073"
"B70","270","","R9074"
"B70","470","","R9075"
"B70","20","","R9076"
"B70","330","","R9077"
"B70","250","","R9078"
"B70","320","","R9079"
"B70","300","","R9080"
"B70","410","","R9081"
"B70","190","","R9082"
"B70","120","","R9083"
"B70","310","","R10084"
"B86","390","","R1000"
"B86","270","","R1001"
"B86","420","","R1002"
"B86","250","","R1003"
"B86","480","","R1004"
"B86","420","","R1005"
"B86","370","","R1006"
"B86","440","","R1007"
"B86","140","","R1008"
"B86","220","","R1009"
"B86","250","","R1010"
"B86","290","","R1011"
"B86","150","","R1012"
"B86","280","","R1013"
"B86","270","","R1014"
"B86","120","","R1015"
"B86","210","","R1016"
"B86","100","","R1017"
"B86","90","","R2018"
"B86","60","","R2019"
"B86","280","","R2020"
"B86","290","","R2021"
"B86","210","","R2022"
"B86","40","","R2023"
"B86","190","","R3024"
"B86","80","","R3025"
"B86","480","","R3026"
"B86","160","","R3027"
"B86","360","","R3028"
"B86","150","","R3029"
"B86","300","","R3030"
"B86","350","","R3031"
"B86","140","","R3032"
"B86","130","","R3033"
"B86","430","","R3034"
"B86","410","","R3035"
"B86","350","","R3036"
"B86","230","","R3037"
"B86","420","","R3038"
"B86","350","","R3039"
"B86","350","","R3040"
"B86","270","","R3041"
"B86","360","","R3042"
"B86","90","","R3043"
"B86","150","","R3044"
"B86","50","","R3045"
"B86","440","","R3046"
"B86","220","","R3047"
"B86","40","","R3048"
"B86","40","","R3049"
"B86","300","","R3050"
"B86","190","","R3051"
"B86","460","","R3052"
"B86","10","","R3053"
"B86","70","","R3054"
"B86","40","","R3055"
"B86","190","","R3056"
"B86","180","","R3057"
"B86","250","","R3058"
"B86","480","","R3059"
"B86","40","","R3060"
"B86","410","","R3061"
"B86","120","","R3062"
"B86","210","","R3063"
"B86","60","","R4064"
"B86","50","","R4065"
"B86","170","","R4066"
"B86","40","","R4067"
"B86","260","","R4068"
"B86","200","","R4069"
"B47","300","","R1000"
"B47","90","","R1001"
"B47","360","","R2002"
"B47","20","","R2003"
"B47","170","","R3004"
"B47","440","","R3005"
"B47","60","","R3006"
"B47","340","","R3007"
"B47","230","","R3008"
"B47","70","","R3009"
"B47","390","","R3010"
"B47","410","","R3011"
"B47","20","","R3012"
"B61","470","","R1000"
"B61","230","","R1001"
"B61","170","","R1002"
"B61","280","","R1003"
"B61","180","","R1004"
"B61","300","","R1005"
"B61","160","","R1006"
"B61","220","","R1007"
"B61","300","","R1008"
"B61","230","","R2009"
"B61","50","","R3010"
"B61","350","","R3011"
"B61","340","","R4012"
"B61","210","","R4013"
"B61","410","","R4014"
"B61","150","","R4015"
"B61","90","","R4016"
"B61","120","","R4017"
"B61","50","","R4018"
"B61","100","","R4019"
"B61","300","","R4020"
"B61","420","","R4021"
"B61","20","","R5022"
"B61","110","","R5023"
"B61","310","","R5024"
"B61","420","","R5025"
"B61","60","","R5026"
"B61","350","","R6027"
"B61","420","","R6028"
"B61","140","","R6029"
"B61","170","","R6030"
"B61","190","","R6031"
"B61","410","","R6032"
