Supervisor,Title,Supervisor (Names)
mlu1n08,Blockchain in education,"Leon Urrutia, Manuel"
jz5c16,Blockchain technique applications and implementation,"Zhang, Jie"
la1e17,Blockchain-based System Design Patterns,"Aniello, Leonardo"
km1j06,Brain connectivity analysis for early diagnosis of cognitive impairment in children,"Maharatna, Koushik"
mb1a10,Building a suite of software tools to extract raw data from figures in image files,"Brede, Markus"
ta1m12,Cable Systems for Offshore Renewables,"Andritsch, Thomas"
nrh,Capacitance sensor for small values of capacitance,"Harris, Nicholas"
srinanda,Causal reasoning in machine learning,"Dasmahapatra, Srinandan"
rh3g09,Characterisation of back-end-of-the-line resistive memory using SiC,"Huang, Ruomeng"
rh3g09,Characterisation of novel memory devices for neuromorphic computing,"Huang, Ruomeng"
rh3g09,Characterisation of thermoelectric properties for chalcogenide-based thin films,"Huang, Ruomeng"
jz5c16,Characterising agent's incentives in resource allocation problems,"Zhang, Jie"
sab1m08,Characterising defects in crystalline silicon wafers and solar cells using photo-luminescent imaging,"Boden, Stuart"
fenglian,Charge decay and trapping characteristics of polymeric insulting materials,"Chen, George"
bim,Clock-Speed Optimisation for a Pipelined Microprocessor on an FPGA,"McNally, Iain"
ar4k06,Cloud-native App Development,"Rezazadeh, Abdolbaghi"
tsh2n14,Code generation for Safety Critical Systems,"Hoang, Son"
mrdp1x07,Colorimeter electronics,"de Planque, Maurits"
br1e18,Combinatorial auctions,"Rastegari, Bahar"
at1o07,Components and Applications on SOLID,"Tiropanis, Thanassis"
ng2,Composite modelling: particulate inclusions in dielectrics and insulators,"Green, Nicolas"
gbw,Computational Finance,"Wills, Gary"
br1e18,Computational social choice,"Rastegari, Bahar"
gravell,Computer Science Education,"Gravell, Andrew ('Andy')"
pll,Condition Monitoring of HV Autotransformers/MV cables,"Lewin, Paul"
ac1n16,Consent and Data Sharing,"Chapman, Age"
em1g17,Context-free Grammars,"Marchioni, Enrico"
bc1d11,Control of Power Inverter: A Learning based Approach,"Chu, Bing"
bc1d11,Control of Repetitive Tasks using Reinforcement Learning,"Chu, Bing"
yt1p07,Coupled nonlinear nanoelectromechanical oscillator array simulations,"Tsuchiya, Yoshishige"
la1e17,Cyber Attack Generation in Virtual IoT Networks,"Aniello, Leonardo"
gbw,Cyber Security,"Wills, Gary"
ar4k06,Cyber-Physical Systems - Formal modelling and analysis in Event-B,"Rezazadeh, Abdolbaghi"
raw1,Darwinian and non-Darwinian evolution,"Watson, Richard"
ta1m12,Data driven approach to materials development,"Andritsch, Thomas"
pr3,Data driven control for continuous-time systems,"Rapisarda, Paolo"
gk1e17,"Data Integration, Fusion and Exchange.","Konstantinidis, George"
tr1y14,Data logging to monitor power flow in photovoltaic system for remote islands,"Rahman, Tasmiat"
lac,Data Studies on Twitter,"Carr, Leslie"
pr3,Data-driven model order reduction,"Rapisarda, Paolo"
ac1n16,Dataset Retrieval,"Chapman, Age"
ce1r20,Deep Acoustic SLAM for Robots,"Evers, Christine"
kf2u17,Deep Generative Models for Human Activity Recognition,"Farrahi, Kate"
kf2u17,Deep Learning for a General Classification or Transfer Learning Task,"Farrahi, Kate"
kf2u17,Deep Learning for Biometric Identification from ECG Signals,"Farrahi, Kate"
apb1,Deep Learning for Images,"Prugel-Bennett, Adam"
apb1,Deep Learning for Text Understanding,"Prugel-Bennett, Adam"
mn1p07,"Deep Learning in Biological Sequence Analysis: Predicting Gene Expression, Function and Immune Response from Sequence","Niranjan, Mahesan"
xc1f20,Deep learning segmentation in medical imaging,"Cai, Xiaohao"
ce1r20,Deep Room Classification for Robot Audition,"Evers, Christine"
llyang,Deep-Learning for User Activity Identification and Signal Detection in Wireless Communications,"Yang, Lie-Liang"
fenglian,Defect generation and ageing of polymeric insulation,"Chen, George"
hk1f20,Depth map completion from sparse laser scan data,"Kim, Hansung"
nrh,Design and build a gate level microprocessor,"Harris, Nicholas"
nrh,Design and Construction of an environmental sensor node,"Harris, Nicholas"
bh1m10,Design and Evaluation of Random Number Generator,"Halak, Basel"
ldig1y14,Design and implementation of a dataset search interface,
bh1m10,Design and Implementation of PUF for Secure Cryptographic Key Generation,"Halak, Basel"
chdg,Design and Simulation of Smart Radiative Cooling for Energy Applications,"De Groot, Kees"
hmc1x07,Design of Multi-Layer Optical Waveguide Router,"Chong, Harold"
sqc,Detection of nonlinear MIMO communication system,"Chen, Sheng"
tr1y14,Developing a Simulink model of a floating solar energy system for river island communities in Bangladesh,"Rahman, Tasmiat"
asw1v08,Development of a Controller for a Low-Cost Vibration Generator,"Weddell, Alex"
mjw7,Development of a device independent eye test system for use in assessment of MS and other conditions,"Weal, Mark"
neilw,Development of a home-based respiration system,"White, Neil"
ctf1,Development of a wireless sleeve to suppress pathological tremor,"Freeman, Christopher"
neilw,Development of algorithms for home-based recovery in orthopaedic patients.,"White, Neil"
neilw,Development of algorithms for respiration monitoring,"White, Neil"
fenglian,Development of electrical ageing model,"Chen, George"
ig1v07,Development of vacuum electron source,"Golosnoy, Igor"
la1e17,Device Profiling in IoT Environments,"Aniello, Leonardo"
ig1v07,Diagnostics of plasmas in hollow cathode plumes,"Golosnoy, Igor"
jsh2,Differentiable relaxations of look-up tables,"Hare, Jonathon"
jsh2,Differentiable scene composition,"Hare, Jonathon"
jsh2,Differentiable sketching,"Hare, Jonathon"
sqc,Digital baseband predistorter design for nonlinear memory high power amplifier,"Chen, Sheng"
mrdp1x07,Digital holographic microscopy – imaging without lenses,"de Planque, Maurits"
mct1d19,Direct Adaptive Control using Neural Networks,"Turner, Matthew"
jz5c16,Distributed resource allocation for 5G service function chains,"Zhang, Jie"
at1o07,Distributed SPARQL,"Tiropanis, Thanassis"
gravell,Do Memory Games Enhance Understanding,"Gravell, Andrew ('Andy')"
eg,Dynamic Vehicle Routing Algorithms,"Gerding, Enrico"
sm3y07,Ear biometric,"Mahmoodi, Sasan"
nf1m14,Effectiveness of cyber security compliance standards,"Fadhel, Nawfal"
gbw,Elearning: Case Based learning,"Wills, Gary"
fenglian,Electrical Insulation for High Voltage Applications,"Chen, George"
mdc1,Electronic readout system for Optical sensor chip,"Charlton, Martin"
mrdp1x07,Electronics for EEG/ECG/EMG biopotential measurement systems,"de Planque, Maurits"
srg,Embedded Compressed Sensing,"Gunn, Steve"
kpz,Embedded Computer Vision,"Zauner, Klaus-Peter"
stf,Embedded Robot,"Zauner, Klaus-Peter"
tomasz,Embedded NISC processor,"Kazmierski, Tomasz"
ctf1,EMG recognition of upper limb movements for rehabilitation and athletics.,"Freeman, Christopher"
nf1m14,Energy trading in Microgrids,"Fadhel, Nawfal"
pr3,Energy-based identification of continuous-time systems with orthonormal bases,"Rapisarda, Paolo"
gm1r07,Energy-Driven (or 'Transient') IoT Systems,"Merrett, Geoff"
gm1r07,Energy-Efficient Networking for Future IoT Systems,"Merrett, Geoff"
aa1m20,Enhancing the Security in the InfiniBand protocol,"Atamli, Ahmad"
js9g09,Establishing data dashboard for daily life based on open data,"Shi, Jian"
ta1m12,Esters as replacement liquid for HV applications,"Andritsch, Thomas"
sqc,Estimation of Nonlinear MIMO channel,"Chen, Sheng"
sqc,Evaluating performance of massive MIMO,"Chen, Sheng"
hmc1x07,Evaluation of MEMS Springs for Reliable Switching,"Chong, Harold"
ac1n16,Explainability and Algorithmic Accountability,"Chapman, Age"
tjn1f15,Explainable reinforcement learning,"Norman, Tim"
jsh2,Exploring factors that allow emergence of contour integration in deep networks,"Hare, Jonathon"
gk1e17,Extending an open source data integration system with ontology reasoning,"Konstantinidis, George"
meh1r11,Extremely large massive MIMO and Large intelligent surfaces for 6G communications,"El-Hajjar, Mohammed"
ac1n16,Fair data,"Chapman, Age"
jy12g15,Fermi Paradox (Will Humans One Day Colonize the Universe?),"Yan, Jize"
tomasz,FFT butterfly using bit-serial processing,"Kazmierski, Tomasz"
chdg,Finite element simulation of Conductive Bridge Resistive Memory,"De Groot, Kees"
chdg,Finite Element Simulation of metal oxide thin film transistors,"De Groot, Kees"
chdg,Finite Element Simulation of thin film Thermo-Electric Generators,"De Groot, Kees"
mjw7,Flexible timeline lifechart visualisation software to support psychotherapy,"Weal, Mark"
bim,Floating-Point Acceleration for FPGA based MIMD Parallel Computers,"McNally, Iain"
lac,Flow142: social network analysis of dynamic interactions,"Carr, Leslie"
dst1m17,Fluidic instead of crystalized adaptation for outdoor walking robots,"Tarapore, Danesh"
dst1m17,Fluidic instead of crystalized adaptation for outdoor wheeled robots,"Tarapore, Danesh"
at1o07,Fog computing: applications,"Tiropanis, Thanassis"
at1o07,Fog computing: distributed queries,"Tiropanis, Thanassis"
corina,Formal Methods (Event-B and Rodin),"Cirstea, Corina"
tsh2n14,Formal System Development,"Hoang, Son"
corina,Formal verification using the KeY tool,"Cirstea, Corina"
mz1,FPGA Acceleration of Machine Learning,"Zwolinski, Mark"
mz1,FPGA Acceleration of Transistor Modelling,"Zwolinski, Mark"
mz1,FPGA-Based Physically Uncloneable Functions,"Zwolinski, Mark"
ng2,Full experimental validation of particle and material impedance models used in medical devices,"Green, Nicolas"
sm3y07,Gait biometric,"Mahmoodi, Sasan"
em1g17,Game Theory,"Marchioni, Enrico"
em1g17,Game Theory and AI,"Marchioni, Enrico"
gbw,Gamification,"Wills, Gary"
sqc,Generalized spatial modulation for future MIMO communications,"Chen, Sheng"
srinanda,Generative models of magnetic skyrmion textures,"Dasmahapatra, Srinandan"
bim,GPU Design in SoC FPGA Video Games,"McNally, Iain"
eg,Graph-Based Privacy Management,"Gerding, Enrico"
sh2e19,Hardware Security Leveraging Physically Unclonable Functions,"Hu, Shiyan"
km1j06,Hardware system development for predicting fatal arrhythmia,"Maharatna, Koushik"
sqc,Hardware-efficient partially-activated conjugate beamforming for massive MIMO,"Chen, Sheng"
hmc1x07,Heterogeneous Integration with Zinc Oxide Field Effect Transistors,"Chong, Harold"
mdc1,High efficiency LEDs for displays and lighting,"Charlton, Martin"
mdc1,High efficiency nano-structured silicon solar cells,"Charlton, Martin"
mdc1,High efficiency tandem perovskite solar cell,"Charlton, Martin"
ng2,Higher order moments in electrical forces - simulation and analysis,"Green, Nicolas"
spb,Hollow polymer fibre ferroelectret materials for sensing and energy harvesting applications,"Beeby, Stephen"
neilw,Home-based healthcare system for rehabilitation,"White, Neil"
kf2u17,Human Interaction Models for Digital Epidemiology,"Farrahi, Kate"
eg,Human-In-The-Loop Reinforcement Learning,"Gerding, Enrico"
xf2f11,Hybrid data processing at the nanoscale: optical simulation of nano-chips,"Fang, Xu"
xf2f11,Hybrid data processing at the nanoscale: thermal simulation of nano-chips,"Fang, Xu"
bim,"Hybrid Shared-Memory, Message-Passing Architecture for MIMD Parallel Computers","McNally, Iain"
pr3,Identification of continuous-time models via orthonormal bases,"Rapisarda, Paolo"
tr1y14,Image processing to identify and characterise land erosion in rivers in Bangladesh,"Rahman, Tasmiat"
aks1a19,Impact of time-delays on networked control of power systems,"Singh, Abhinav Kumar"
aks1a19,"Implementing, comparing and developing algorithms for dynamic state estimation of power systems","Singh, Abhinav Kumar"
spb,Improving the long term stability of smart ferroelectret textiles for sensing and energy harvesting,"Beeby, Stephen"
sh7n18,Improving Topic Modelling of the Edu-Blogosphere,"Hewitt, Sarah"
ek1c19,In a world full of OWASP be an IoT OWASP,"Karafili, Erisa"
sqc,Index modulation aided OFDM,"Chen, Sheng"
raw1,Induction in adaptive networks:  What problems can networks solve?,"Watson, Richard"
raw1,Induction in adaptive networks: Can an ecosystem solve Sudoku?,"Watson, Richard"
raw1,Induction in adaptive networks: Enhancing learning,"Watson, Richard"
raw1,Induction in adaptive networks: global efficiency,"Watson, Richard"
raw1,Induction in adaptive networks: Hierarchy,"Watson, Richard"
raw1,Induction in adaptive networks: Individualism vs connectionism,"Watson, Richard"
raw1,Induction in adaptive networks: Pulsing,"Watson, Richard"
bim,Integration of alternative Routing Algorithms into the Magic open-source VLSI editor,"McNally, Iain"
la1e17,Integration of different Cyber Security Knowledge Bases,"Aniello, Leonardo"
eg,Intelligent Intersection Management for Connected Vehicles,"Gerding, Enrico"
gm1r07,Intelligent Resource Management for Embedded Systems,"Merrett, Geoff"
gm1r07,Intermittent Computing,"Merrett, Geoff"
asw1v08,Intermittently-Powered Computing,"Weddell, Alex"
js9g09,Investigating how the Internet Affected Computer Science Education by gathering and analysing quantitative data,"Shi, Jian"
nrh,Investigation into moisture sensors for soil monitoring,"Harris, Nicholas"
sbg2,Iodine as a propellant for gridded ion engines,"Gabriel, Stephen"
gbw,IoT Security assessment,"Wills, Gary"
km2,IoT Sensor network,"Martinez, Kirk"
nf1m14,IoT threat analysis,"Fadhel, Nawfal"
bc1d11,Iterative Learning Control : A data Driven Approach,"Chu, Bing"
bc1d11,Iterative Learning Control for Collaborative Tasks,"Chu, Bing"
bc1d11,Iterative learning control using optimisation methods,"Chu, Bing"
ctf1,Iterative Learning Control with Human-in-the-Loop,"Freeman, Christopher"
tjn1f15,Iterative truth discovery,"Norman, Tim"
sbg2,Kinetic model for krypton discharge,"Gabriel, Stephen"
jr1a06,Language Analyses For GDPR Compliance,"Rathke, Julian"
sbg2,Laser produced microplasmas,"Gabriel, Stephen"
xc1f20,Learning active contours,"Cai, Xiaohao"
ctf1,Learning of Fast Robotic Grasps,"Freeman, Christopher"
bc1d11,Learning with Human in the Loop,"Chu, Bing"
km2,libVIPS image processing,"Martinez, Kirk"
xf2f11,Lidar for autonomous driving: control circuit development,"Fang, Xu"
xf2f11,Lidar for autonomous driving: optical design of nano-devices,"Fang, Xu"
xf2f11,Lidar for autonomous driving: thermal design of nano-devices,"Fang, Xu"
sbg2,Light initiated hollow cathode discharge.,"Gabriel, Stephen"
pr3,Linear time-varying system identification,"Rapisarda, Paolo"
em1g17,Logics in Artificial Intelligence,"Marchioni, Enrico"
km2,low frequency radio for Riot-OS,"Martinez, Kirk"
hmc1x07,Low Noise Readout Electronic Circuits,"Chong, Harold"
srg,Machine Learning for Embedded Systems,"Gunn, Steve"
rh3g09,Machine learning for inverse design of structural colour,"Huang, Ruomeng"
meh1r11,Machine learning for wireless communications with Artificial intelligence,"El-Hajjar, Mohammed"
mjw7,Machine learning to reduce hearing damage by understanding of listening habits,"Weal, Mark"
llyang,Machine-Learning Assisted Identification/Classification Based on Sound/Noise,"Yang, Lie-Liang"
ob1a12,Making Cybersecurity Education Fun,"Bills, Oliver"
nf1m14,Malicious user behaviour analytics,"Fadhel, Nawfal"
dst1m17,MAP-Elites for robot swarm,"Tarapore, Danesh"
ob1a12,Mapping Dynamic Web Applications,"Bills, Oliver"
sh7n18,Mapping Influence on the Edu-Blogosphere (with the help of Twitter),"Hewitt, Sarah"
meh1r11,Massive MIMO analysis and design,"El-Hajjar, Mohammed"
nrh,Maximising the efficiency of a microcontroller,"Harris, Nicholas"
neilw,Measurement of bone density,"White, Neil"
ldig1y14,Measuring space overhead of CRDT based collaborative systems under different network conditions,
ng2,Medical Data Analysis: automation of blood testing,"Green, Nicolas"
sm3y07,Medical image processing and analysis,"Mahmoodi, Sasan"
ng2,Medical nanoelectronic devices: analysis and simulation,"Green, Nicolas"
jy12g15,MEMS Metamaterial Antenna for Passive Wifi and RF Power Harvester,"Yan, Jize"
llyang,Message Passing Assisted Detection in Wireless Communications Systems (Upto 2 projects),"Yang, Lie-Liang"
spb,Micro scale vacuum packaging of pressure sensors and electronics for electronic textile applications,"Beeby, Stephen"
meh1r11,millimetre wave communications transceiver design,"El-Hajjar, Mohammed"
mb1a10,Minimal computation and evolution of rules for robot swarms,"Brede, Markus"
ldig1y14,Mining dataset search logs,
ar4k06,Mobile App Development,"Rezazadeh, Abdolbaghi"
tsh2n14,Mobile appilcation development,"Hoang, Son"
dst1m17,Model-based learning for robot swarms: Collaborative autonomous assistance for ASV swarm recovery,"Tarapore, Danesh"
corina,Model-based testing,"Cirstea, Corina"
mct1d19,Modelling and Adaptive Control of a Quadcopter,"Turner, Matthew"
kf2u17,Modelling Keyboard Typing Behaviour using Deep Learning,"Farrahi, Kate"
ig1v07,Modelling of AC dielectric barrier discharge in air,"Golosnoy, Igor"
ig1v07,Modelling of arc motion in circuit breakers,"Golosnoy, Igor"
ig1v07,Modelling of electrically coupled nerve fibre networks,"Golosnoy, Igor"
ng2,Modelling of electromagnetic and electrostatic metamaterials,"Green, Nicolas"
ig1v07,Modelling of glow discharges in hollow cathodes,"Golosnoy, Igor"
sxn,Molecular communications,"Ng, Michael"
llyang,Molecular Communications (One project),"Yang, Lie-Liang"
hk1f20,Monocular depth estimation and object detection for autonomous vehicles,"Kim, Hansung"
mlu1n08,MOOC Observatory Dashboard,"Leon Urrutia, Manuel"
dem,Movement based location-aware narratives,"Millard, David"
sm3y07,MRI image analysis to diagnose HIE,"Mahmoodi, Sasan"
ctf1,Multiple Model based Iterative Learning Control,"Freeman, Christopher"
ctf1,Multiple Model based Repetitive Control,"Freeman, Christopher"
yt1p07,Nano-opto-electro-mechanical device modelling,"Tsuchiya, Yoshishige"
xf2f11,Nano-sensors for biological and environmental sensing: optical simulation,"Fang, Xu"
yt1p07,Nanochannel-embedded nanoelectromechanical nanoparticle detectors,"Tsuchiya, Yoshishige"
yt1p07,Nanoelectromechanical single electron transistors,"Tsuchiya, Yoshishige"
xf2f11,Nanoelectronics with a changing phase: optical simulation,"Fang, Xu"
xf2f11,Nanoelectronics with a changing phase: thermal simulation,"Fang, Xu"
mlu1n08,Natural Language Processing in Education,"Leon Urrutia, Manuel"
sbg2,Neutraliser cathode for a small radio frequency gridded ion engine.,"Gabriel, Stephen"
ta1m12,Next generation cable insulation materials to enable renewable energy integration,"Andritsch, Thomas"
ta1m12,Next Generation Epoxy Resins for Machine Winding Insulation and HV Plant,"Andritsch, Thomas"
sxn,Next Generation Wireless Communications Systems,"Ng, Michael"
em1g17,Non-deterministic Finite Automata,"Marchioni, Enrico"
srinanda,Non-euclidean data representation for deep learning,"Dasmahapatra, Srinandan"
llyang,Non-Orthogonal Multiple-Access (NOMA) and Sparse Code Multiple Access (SCMA) (Upto 2 projects),"Yang, Lie-Liang"
yt1p07,Nonlinear nanoelectromechanical resonators,"Tsuchiya, Yoshishige"
mjw7,Novel hearing training for recipients of cochlear impants,"Weal, Mark"
rh3g09,Novel non-volatile memory based on flexible substrates,"Huang, Ruomeng"
nrh,Novel wind based musical instruments,"Harris, Nicholas"
hk1f20,Object detection and recognition in a 360 panoramic video,"Kim, Hansung"
mlu1n08,Online Learning Analytics,"Leon Urrutia, Manuel"
ek1c19,Ontologies for Cyber-Attacks Investigations,"Karafili, Erisa"
gk1e17,Ontology Based Query Answering,"Konstantinidis, George"
hsp2m10,Open Source Projects and Measuring their Sustainability,"Packer, Heather"
ng2,Operation and distributed computing in a railway network simulator,"Green, Nicolas"
mb1a10,Opinion dynamics on complex networks,"Brede, Markus"
sqc,Optimal non-uniformly space rectangular antenna array design for MIMO,"Chen, Sheng"
bim,Optimisation of a Superscalar Pipelined Microprocessor for an FPGA,"McNally, Iain"
tr1y14,Optimisation of PV systems for use on Agricultural land (Agro-PV),"Rahman, Tasmiat"
rh3g09,Optimising the thermoelectric generator using machine learning,"Huang, Ruomeng"
sab1m08,Optimization of interdigitated back contact silicon solar cells through simulation,"Boden, Stuart"
kpz,Panoramic Imaging for Rovers,"Zauner, Klaus-Peter"
jy12g15,"Patient-psychology inspired, Big-data powered medication management","Yan, Jize"
nf1m14,Pattern of Life Generator,"Fadhel, Nawfal"
lac,Pictorial Data Studies on Twitter,"Carr, Leslie"
tomasz,Pipelined and hyper-threaded RISC V processor,"Kazmierski, Tomasz"
jz5c16,Planning and optimisation in sharing economy,"Zhang, Jie"
ng2,Power electronics: distributed railway control system,"Green, Nicolas"
asw1v08,Power-Aware Microcontroller,"Weddell, Alex"
sqc,Precoding and Predistorter Degin for MIMO Downlink with transmit nonlinear amplifier,"Chen, Sheng"
la1e17,Prediction of Future Malware Variants,"Aniello, Leonardo"
br1e18,Preference elicitation,"Rastegari, Bahar"
ldig1y14,Pricing of queries on RDF databases,
gk1e17,Privacy in Data Sharing,"Konstantinidis, George"
la1e17,Privacy Preservation in Consortium Blockchain,"Aniello, Leonardo"
la1e17,Privacy-preserving Data Sharing using Count-min Sketches,"Aniello, Leonardo"
apb1,Probabilistic modeling for machine learning,"Prugel-Bennett, Adam"
gravell,Programming Language Evaluation,"Gravell, Andrew ('Andy')"
jr1a06,Programming Languages for Smart Contracts,"Rathke, Julian"
lac,Programming Voice Interfaces,"Carr, Leslie"
ac1n16,Provenance,"Chapman, Age"
nf1m14,Provenance of cyber-physical security threats,"Fadhel, Nawfal"
spb,Proximity sensors for electronic textile applications,"Beeby, Stephen"
ctf1,Quadrotor aerial maneuvers,"Freeman, Christopher"
sxn,Quantum error correction codes,"Ng, Michael"
sxn,Quantum-assisted Secure Communications,"Ng, Michael"
hk1f20,Real-time camera tracking and pose estimation using wide FoV cameras,"Kim, Hansung"
km1j06,Real-time epilepsy prediction from brain signal analysis,"Maharatna, Koushik"
hk1f20,Real-time Human Detection and Pose Estimation,"Kim, Hansung"
gk1e17,Reasoning with Knowledge Graphs in AI.,"Konstantinidis, George"
raw1,Recursive evolutionary algorithm,"Watson, Richard"
sxn,Redundant Residue Number System based Forward Error Correction Codes,"Ng, Michael"
km2,Reflectance Transformation image processing,"Martinez, Kirk"
mct1d19,Reinforcement Learning for gain scheduling,"Turner, Matthew"
ob1a12,Relational Database Auto-generation,"Bills, Oliver"
aa1m20,Reliability of Memory acquisition tools for cloud platforms,"Atamli, Ahmad"
raw1,Repeated vehicle routing optimisation w deep learning,"Watson, Richard"
js9g09,Research on Gathering and Visualising Data from Twitter to understand students’ perspectives of learning to program,"Shi, Jian"
js9g09,Research on Gathering Qualitative data about how students learning to program in this digital world,"Shi, Jian"
js9g09,Research on How the Web changed the way students getting help,"Shi, Jian"
js9g09,Research on how to enhance the learning experience when learning to program by establishing an e-learning platform,"Shi, Jian"
jsh2,Resolution independent auto-encoders,"Hare, Jonathon"
br1e18,Resource allocation,"Rastegari, Bahar"
llyang,Resource-allocation (Upto 2 projects),"Yang, Lie-Liang"
corina,Resource-Aware Model Checking for Autonomous Systems,"Cirstea, Corina"
sbg2,RF microplasma,"Gabriel, Stephen"
sm3y07,Ridge detection for Emphysema Diagnosis in medical images,"Mahmoodi, Sasan"
km2,RIOT-OS based 6LowPAN sensor network,"Martinez, Kirk"
aks1a19,Robust dynamic state estimation of power systems for time varying measurement covariances,"Singh, Abhinav Kumar"
mct1d19,Robust/adaptive control design for a helicopter,"Turner, Matthew"
ob1a12,Rootkit identification and removal,"Bills, Oliver"
tjn1f15,Safe reinforcement learning,"Norman, Tim"
sh2e19,Safety and Security Co-Optimizations for Cyber-Physical Systems,"Hu, Shiyan"
ek1c19,Saving the Internet from the Internet of Things,"Karafili, Erisa"
kf2u17,Scattering Networks,"Farrahi, Kate"
at1o07,Secure Data Sharing (SOLID),"Tiropanis, Thanassis"
bh1m10,Secure Hardware Implementation of AI Accelerators,"Halak, Basel"
sh2e19,Security on User Perceived Value Based Pricing Models,"Hu, Shiyan"
asw1v08,Selection of Appropriate Energy Harvesters based on Environmental Data,"Weddell, Alex"
gm1r07,Self-Powered Embedded Systems for the Internet of Things,"Merrett, Geoff"
mjw7,Semantic modelling of stream of consciousness narrative structures.,"Weal, Mark"
nmg,Semantic Open Hypermedia,"Gibbins, Nicholas"
lac,Semantic Web wordprocessing support,"Carr, Leslie"
jr1a06,Semantics Based Malware Detection,"Rathke, Julian"
jsh2,Shape and Form bias in deep networks and auto-encoders,"Hare, Jonathon"
dst1m17,Simulation of an ASV swarm for marine environments,"Tarapore, Danesh"
mz1,Single Cycle Cryptography,"Zwolinski, Mark"
mdc1,Single photon Laser for quantum computing,"Charlton, Martin"
hk1f20,Single shot depth estimation from an RGB camera,"Kim, Hansung"
tjn1f15,Situational awareness through explanation,"Norman, Tim"
sm3y07,Skin Cancer Detection,"Mahmoodi, Sasan"
mdc1,Slow light modulator for optical computing,"Charlton, Martin"
sh2e19,Smart Home Cyber-Physical System Security,"Hu, Shiyan"
mjw7,Smartphone notification management,"Weal, Mark"
at1o07,Social machine simulation,"Tiropanis, Thanassis"
lac,Social Media Analysis for Public Opinions,"Carr, Leslie"
mjw7,Social Media analytics,"Weal, Mark"
mlu1n08,Social Network Analysis in Online Education,"Leon Urrutia, Manuel;Fair, Nicholas"
dem,Socially Aware Narratives,"Millard, David"
tsh2n14,Software Development,"Hoang, Son"
jr1a06,Software Mutator identification,"Rathke, Julian"
tr1y14,Solar Powered E-cooking Devices,"Rahman, Tasmiat"
fenglian,Space charge in solid insulation,"Chen, George"
fenglian,Space charge measurement technique,"Chen, George"
dst1m17,Sparse-swarms: robot swarm coordination in communication constrained environments,"Tarapore, Danesh"
